time,q_1392,q_1385,q_1386,q_1374,q_1368,q_1391,q_1390,p_1392,p_1385,p_1386,p_1374,p_1368,p_1391,p_1390
2001-01-02T00:00:00,226.9678772252662,309.09555767997296,307.19113569724556,239.62935708264376,19.83325171446014,170.9652873547866,171.80177543421883,0.0,0.0,0.0,0.0,0.07999999821186066,0.0,0.0
2001-01-03T00:00:00,120.62473170865638,166.78198631511188,167.40475621234305,128.05079420808454,8.475851930193382,86.28272894177125,84.3466909140643,0.6800000071525574,0.6800000071525574,0.25999999046325684,0.25999999046325684,3.890000104904175,0.25999999046325684,1.6399999856948853
2001-01-04T00:00:00,71.3978624187164,98.02406637036371,98.37698991128991,71.75532821454594,4.392015935127644,46.88543412824222,43.3603289685538,3.9600000381469727,3.9600000381469727,3.740000009536743,3.740000009536743,3.3499999046325684,3.740000009536743,3.390000104904175
2001-01-05T00:00:00,45.91884218233812,62.69281010987797,62.91417846213867,44.76072667157499,2.668925106593365,28.452397797779014,23.871698376818344,2.5,2.5,2.369999885559082,2.369999885559082,3.3399999141693115,2.369999885559082,2.1600000858306885
2001-01-06T00:00:00,32.07608203358814,43.161673676905885,43.30464517857308,29.923101280623786,2.2020806101424477,18.455467801544327,14.074498572370262,0.6000000238418579,0.6000000238418579,0.38999998569488525,0.38999998569488525,1.5700000524520874,0.38999998569488525,0.36000001430511475
2001-01-07T00:00:00,23.946737044369442,31.615353571473175,31.7192995248223,21.470859006020195,2.077329504474099,12.881307771573566,9.325742425344819,8.710000038146973,8.710000038146973,6.340000152587891,6.340000152587891,20.149999618530273,6.340000152587891,6.199999809265137
2001-01-08T00:00:00,18.714319348604356,24.259533416943977,24.360631723869076,16.1693102627959,2.0212158641211615,9.489967231089505,7.088277450341167,31.600000381469727,31.600000381469727,34.72999954223633,34.72999954223633,39.709999084472656,34.72999954223633,36.939998626708984
2001-01-09T00:00:00,13.106232433198263,17.169708598771287,17.255591004509597,11.976688576595672,0.9393006695774241,6.848558184439999,4.258110912893135,8.220000267028809,8.220000267028809,8.119999885559082,8.119999885559082,7.989999771118164,8.119999885559082,9.390000343322754
2001-01-10T00:00:00,9.432853672766134,12.451549319249764,12.50864919465394,9.036968145890231,0.4032883424938409,5.0090184634338994,2.590673701391283,0.07000000029802322,0.07000000029802322,0.029999999329447746,0.029999999329447746,0.0,0.029999999329447746,0.0
2001-01-11T00:00:00,7.3864916893201205,9.668562399787062,9.705406845380976,7.043772962169286,0.3940182963765078,3.825660528446109,1.8750149885411842,0.23000000417232513,0.23000000417232513,0.05000000074505806,0.05000000074505806,0.6899999976158142,0.05000000074505806,0.0
2001-01-12T00:00:00,5.896270322296374,7.656851291856488,7.687155822339395,5.630110493220092,0.3496047996921512,3.0257212478834514,1.4529001807775792,0.009999999776482582,0.009999999776482582,0.0,0.0,0.38999998569488525,0.0,0.11999999731779099
2001-01-13T00:00:00,4.484667800736752,5.86777205730245,5.898356431839075,4.537172344934441,0.13954517662649857,2.404206982873187,1.0700918636227228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-14T00:00:00,3.4694730277398107,4.554229793306964,4.577921037354912,3.6830081144366917,0.06744720700805618,1.9205979129631785,0.7806707606142754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-15T00:00:00,2.7526683502120304,3.6096569603124813,3.6284435998987203,3.0364768152134185,0.04441773786791877,1.5704781554628067,0.5952714700250076,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-16T00:00:00,2.205372944277457,2.8876917003281988,2.903600700139213,2.532157463558498,0.031900132793864264,1.3040855129314162,0.46993327894774,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-17T00:00:00,1.775972290480689,2.321673244522034,2.335281239307799,2.1287943530169327,0.024365571436880926,1.0941289302456925,0.37839318893556656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001-01-18T00:00:00,1.4563955823657067,1.8977054102352489,1.9101629354969365,1.8096435155833357,0.027329758212046,0.9305071379345701,0.33768980290846956,1.5,1.5,1.6799999475479126,1.6799999475479126,1.5099999904632568,1.6799999475479126,2.8399999141693115
2001-01-19T00:00:00,1.1984392568619475,1.5559394360514507,1.5680555553503295,1.5517169287154549,0.028776393896662006,0.8012974604205189,0.3344552851693072,1.9800000190734863,1.9800000190734863,3.200000047683716,3.200000047683716,1.7799999713897705,3.200000047683716,5.880000114440918
2001-01-20T00:00:00,1.0037750823879772,1.2869397427435987,1.2949954307533098,1.3220913072399325,0.05597079227249129,0.6859998288093291,0.2954827341067795,0.3100000023841858,0.3100000023841858,0.18000000715255737,0.18000000715255737,0.8199999928474426,0.18000000715255737,0.14000000059604645
2001-01-21T00:00:00,0.8250234429689449,1.0561815885859296,1.0645222051210863,1.1392351989406861,0.03729884927225454,0.595867866908127,0.2676211883353273,0.27000001072883606,0.27000001072883606,0.03999999910593033,0.03999999910593033,0.44999998807907104,0.03999999910593033,0.0
2001-01-22T00:00:00,0.7559350169684773,0.9340574057911506,0.9365050245953949,0.9858894440805396,0.10713024455894606,0.5194973150071048,0.23328483085907992,0.10000000149011612,0.10000000149011612,0.019999999552965164,0.019999999552965164,0.49000000953674316,0.019999999552965164,0.0
2001-01-23T00:00:00,0.7497099418416528,0.8934079863634593,0.8952656555664369,0.8804041773136814,0.1552939328170094,0.48077529109625683,0.26206747173723116,0.5099999904632568,0.5099999904632568,0.46000000834465027,0.46000000834465027,0.8399999737739563,0.46000000834465027,0.47999998927116394
