time,Q_1126,Q_1377,Q_1378,Q_1397,P_1126,P_1377,P_1378,P_1397
2019-01-02T00:00:00,228.05686647108146,1122.993753206734,2411.722957758214,88.88575488145959,0.20000000298023224,0.0,0.1599999964237213,0.28999999165534973
2019-01-03T00:00:00,108.44578478280039,556.2436969441761,1411.996062482277,40.37039964170601,0.25999999046325684,0.0,0.0,1.9900000095367432
2019-01-04T00:00:00,55.970837390999584,293.6092463584653,743.3247923355001,21.21477294956446,0.029999999329447746,0.0,0.699999988079071,0.03999999910593033
2019-01-05T00:00:00,30.32807969218908,171.0008003437357,431.3933849166704,11.420325553703897,0.0,0.0,1.2799999713897705,0.0
2019-01-06T00:00:00,18.136143663902537,107.6970016316727,268.1798155559749,6.2081032029547,0.4399999976158142,0.0,0.4699999988079071,0.7300000190734863
2019-01-07T00:00:00,11.220302314674043,70.74364893895076,174.73719672625043,3.378392643757571,0.0,0.0,1.5700000524520874,0.0
2019-01-08T00:00:00,7.064323217899227,48.19946185166342,119.07390107040256,1.8246133460672047,0.0,0.0,0.4699999988079071,0.009999999776482582
2019-01-09T00:00:00,4.508241811470741,34.15688852825527,84.7512947124538,0.9722575913545924,2.4800000190734863,1.159999966621399,0.0,4.570000171661377
2019-01-10T00:00:00,2.918476187927601,25.3457041923631,62.58749045614655,0.5097688067273597,2.200000047683716,0.0,0.029999999329447746,0.2199999988079071
2019-01-11T00:00:00,1.9187257758897207,19.721979813884307,48.127686730122065,0.2628458904062042,0.10000000149011612,0.0,0.6200000047683716,0.009999999776482582
2019-01-12T00:00:00,1.2825897494470626,16.085015731833362,38.46235410662085,0.13349314363938863,0.18000000715255737,0.0,2.5,0.0
2019-01-13T00:00:00,0.8726090215769449,13.697888410675771,31.76717044712525,0.06710925813422769,2.109999895095825,0.0,1.8600000143051147,0.9900000095367432
2019-01-14T00:00:00,0.6048309392188413,12.09772844599325,26.973566681694365,0.03339232113022893,10.75,5.78000020980835,2.6700000762939453,14.5
2019-01-15T00:00:00,0.427415905629021,10.997306923513934,23.434940227231163,0.01650638856198092,3.5399999618530273,0.23999999463558197,0.0,4.25
2019-01-16T00:00:00,0.3077214837687464,10.21062449234181,20.75253520618953,0.008003928610464206,0.03999999910593033,0.009999999776482582,0.09000000357627869,0.0
2019-01-17T00:00:00,0.2259592561798709,9.639740658397892,18.660796410302584,0.003853099478299215,0.019999999552965164,0.05999999865889549,0.05000000074505806,0.019999999552965164
2019-01-18T00:00:00,0.1693027125453316,9.210321732611243,16.997677322254066,0.0019238283347358415,0.0,0.0,0.0,0.46000000834465027
2019-01-19T00:00:00,0.12910336085473614,8.877295480976594,15.644867333405662,0.0009250679899244712,0.0,0.0,0.0,0.0
2019-01-20T00:00:00,0.09994686248835695,8.607193937411768,14.520719744704563,0.00039485986223393904,0.0,0.0,0.009999999776482582,0.0
2019-01-21T00:00:00,0.07857902026582138,8.385787681079945,13.577193866346489,0.00015792581490994988,0.07000000029802322,0.05000000074505806,0.5,0.029999999329447746
2019-01-22T00:00:00,0.06244679304663856,8.197070553892063,12.76784964805828,4.801302630547748e-5,0.0,0.0,0.0,0.0
2019-01-23T00:00:00,0.05034960913178884,8.037229088527196,12.070348601011593,1.1831767804564057e-5,0.0,0.0,0.03999999910593033,0.009999999776482582
2019-01-24T00:00:00,0.040946411427869,7.895942932387759,11.472219601407703,8.194688145563713e-6,0.0,0.0,0.2199999988079071,0.8199999928474426
2019-01-25T00:00:00,0.03351023946723308,7.769356939477437,10.943863015463242,3.3404019338287175e-6,0.009999999776482582,0.0,0.17000000178813934,0.0
2019-01-26T00:00:00,0.027528052398530234,7.654980002304943,10.478357382058922,4.777746612804469e-8,0.0,0.0,0.23000000417232513,0.10000000149011612
2019-01-27T00:00:00,0.02277428734275749,7.551806366746994,10.072297226468686,1.4507235137862105e-7,0.0,0.0,1.1799999475479126,0.1599999964237213
2019-01-28T00:00:00,0.019251916798668407,7.461345997448363,9.708613549732444,4.1743641242147467e-7,1.100000023841858,0.0,0.019999999552965164,0.10999999940395355
2019-01-29T00:00:00,0.01621227845925152,7.37299774473257,9.388264723134505,2.211396379363113e-7,0.33000001311302185,0.0,1.0499999523162842,0.009999999776482582
2019-01-30T00:00:00,0.013546672593091807,7.291286073314928,9.099367297493133,3.9938277069816666e-8,0.0,0.0,1.5399999618530273,0.029999999329447746
2019-01-31T00:00:00,0.011448418313773261,7.21406825458588,8.840283632794627,7.45086949773209e-8,0.15000000596046448,0.0,1.4900000095367432,1.6699999570846558
2019-02-01T00:00:00,0.009610208979866778,7.141143677304915,8.604851245387064,2.6395818211140104e-7,0.0,0.0,2.240000009536743,1.0
2019-02-02T00:00:00,0.008034905676438104,7.072334751912212,8.38999187697541,4.2413418284124226e-7,21.889999389648438,4.739999771118164,1.0199999809265137,8.9399995803833
2019-02-03T00:00:00,0.006809540261933751,7.007967924465679,8.196782225405228,1.9417325279779414e-7,0.3199999928474426,0.0,5.659999847412109,0.5799999833106995
2019-02-04T00:00:00,0.005642162275798943,6.941594960261102,8.02141812794672,5.614095826244641e-9,0.7599999904632568,0.0,7.679999828338623,0.019999999552965164
2019-02-05T00:00:00,0.004563526481321954,6.8772855901112555,7.850054718670538,1.143700556577433e-8,0.0,0.019999999552965164,0.3799999952316284,0.0
2019-02-06T00:00:00,0.0037377643143304095,6.815137360637067,7.691005827834911,4.5097924576741194e-8,0.0,0.0,0.07000000029802322,0.0
